Cores,Resolution,Epoch,Time
2,T42,1,2264.61820602417
2,T42,2,2254.0865404605865
2,T42,3,2271.245539188385
2,T42,4,2247.742867708206
2,T42,5,2219.6624715328217
2,T42,6,2260.046219110489
2,T42,7,2408.5290162563324
2,T42,8,2232.167716741562
2,T42,9,2247.586213827133
2,T42,10,2266.9146707057953
2,T42,11,2272.9915404319763
2,T42,12,2261.264794111252
2,T42,13,2263.385273218155
2,T42,14,2264.416882753372
2,T42,15,2267.155043363571
2,T42,16,2254.008101940155
2,T42,17,2257.5580961704254
2,T42,18,2139.990986585617
2,T42,19,2270.33655834198
2,T42,20,2262.544954776764
2,T42,21,2260.773839712143
2,T42,22,2254.3831396102905
2,T42,Total,49701.51455307007
