Cores,Resolution,Epoch,Time
4,T42,1,820.5780692100525
4,T42,2,827.0498738288879
4,T42,3,822.8375833034515
4,T42,4,824.4714889526367
4,T42,5,827.452321767807
4,T42,6,821.1943962574005
4,T42,7,826.3217513561249
4,T42,8,823.3962097167969
4,T42,9,822.4603817462921
4,T42,10,825.6546506881714
4,T42,11,822.7227108478546
4,T42,12,820.7630550861359
4,T42,13,816.7092757225037
4,T42,14,815.7097055912018
4,T42,15,827.3730731010437
4,T42,16,826.7547173500061
4,T42,17,821.5966365337372
4,T42,18,827.0140719413757
4,T42,19,823.9276978969574
4,T42,20,831.0464100837708
4,T42,21,825.1438627243042
4,T42,22,824.0462300777435
