Cores,Resolution,Epoch,Time
32,T42,1,571.173597574234
32,T42,2,479.93899941444397
32,T42,3,478.5181345939636
32,T42,4,473.53800201416016
32,T42,5,477.5323233604431
32,T42,6,474.5709524154663
32,T42,7,477.55739164352417
32,T42,8,474.91713547706604
32,T42,9,476.0959577560425
32,T42,10,475.2842843532562
32,T42,11,474.8455898761749
32,T42,12,473.94124269485474
32,T42,13,476.3745255470276
32,T42,14,475.64463996887207
32,T42,15,477.89310693740845
32,T42,16,477.5564363002777
32,T42,17,477.70110988616943
32,T42,18,476.8915033340454
32,T42,19,476.2361626625061
32,T42,20,476.0293216705322
32,T42,21,476.6458728313446
32,T42,22,476.93253779411316
32,T42,Total,10575.883445978165
