Process(Group);# Processes;Function(Group);Time Self [s];Time Self [tick];Time Total [s];Time Total [tick];# Calls;SCL
"Process 0";1;"Application";261.621;261620799000;318.513;318513040000;1;0
"Process 0";1;"MPI";56.8922;56892241000;56.8922;56892241000;44891534;0
"Process 5";1;"Application";264.071;264070710000;318.515;318515177000;1;0
"Process 5";1;"MPI";54.4445;54444467000;54.4445;54444467000;45398054;0
"Process 10";1;"Application";264.217;264216655000;318.516;318515681000;1;0
"Process 10";1;"MPI";54.299;54299026000;54.299;54299026000;45398054;0
"Process 15";1;"Application";249.052;249051726000;318.515;318515211000;1;0
"Process 15";1;"MPI";69.4635;69463485000;69.4635;69463485000;44891534;0
"Process 1";1;"Application";264.022;264022329000;318.515;318515299000;1;0
"Process 1";1;"MPI";54.493;54492970000;54.493;54492970000;45398054;0
"Process 6";1;"Application";265.174;265174043000;318.515;318515095000;1;0
"Process 6";1;"MPI";53.3411;53341052000;53.3411;53341052000;45398054;0
"Process 11";1;"Application";252.681;252681377000;318.515;318515420000;1;0
"Process 11";1;"MPI";65.834;65834043000;65.834;65834043000;45398054;0
"All_Processes";16;"Application";4163.19;4163192758000;5096.24;5096242894000;16;0
"All_Processes";16;"MPI";933.05;933050136000;933.05;933050136000;725355824;0
"Process 2";1;"Application";264.392;264391999000;318.515;318515282000;1;0
"Process 2";1;"MPI";54.1233;54123283000;54.1233;54123283000;45398054;0
"Process 7";1;"Application";265.439;265439363000;318.515;318515134000;1;0
"Process 7";1;"MPI";53.0758;53075771000;53.0758;53075771000;45398054;0
"Process 12";1;"Application";251.758;251757547000;318.516;318515549000;1;0
"Process 12";1;"MPI";66.758;66758002000;66.758;66758002000;45398054;0
"Process 3";1;"Application";264.963;264962758000;318.515;318515089000;1;0
"Process 3";1;"MPI";53.5523;53552331000;53.5523;53552331000;45398054;0
"Process 8";1;"Application";264.9;264899953000;318.516;318515660000;1;0
"Process 8";1;"MPI";53.6157;53615707000;53.6157;53615707000;45398054;0
"Process 13";1;"Application";250.552;250552401000;318.516;318515515000;1;0
"Process 13";1;"MPI";67.9631;67963114000;67.9631;67963114000;45398054;0
"Process 4";1;"Application";265.449;265449017000;318.515;318515228000;1;0
"Process 4";1;"MPI";53.0662;53066211000;53.0662;53066211000;45398054;0
"Process 9";1;"Application";264.853;264852718000;318.515;318515256000;1;0
"Process 9";1;"MPI";53.6625;53662538000;53.6625;53662538000;45398054;0
"Process 14";1;"Application";250.049;250049363000;318.515;318515258000;1;0
"Process 14";1;"MPI";68.4659;68465895000;68.4659;68465895000;45398054;0
