Process(Group);# Processes;Function(Group);Time Self [s];Time Self [tick];Time Total [s];Time Total [tick];# Calls;SCL
"Process 0";1;"Application";499.854;499854351000;746.07;746070353000;1;0
"Process 0";1;"MPI";246.216;246216002000;246.216;246216002000;44891529;0
"Process 5";1;"Application";455.086;455086312000;746.073;746073020000;1;0
"Process 5";1;"MPI";290.987;290986708000;290.987;290986708000;45398049;0
"Process 10";1;"Application";415.098;415098164000;746.076;746075827000;1;0
"Process 10";1;"MPI";330.978;330977663000;330.978;330977663000;45398049;0
"Process 15";1;"Application";392.038;392037589000;746.077;746077181000;1;0
"Process 15";1;"MPI";354.04;354039592000;354.04;354039592000;44891529;0
"Process 1";1;"Application";443.843;443842654000;746.073;746072633000;1;0
"Process 1";1;"MPI";302.23;302229979000;302.23;302229979000;45398049;0
"Process 6";1;"Application";445.27;445270286000;746.072;746072150000;1;0
"Process 6";1;"MPI";300.802;300801864000;300.802;300801864000;45398049;0
"Process 11";1;"Application";395.831;395830756000;746.085;746085050000;1;0
"Process 11";1;"MPI";350.254;350254294000;350.254;350254294000;45398049;0
"All_Processes";16;"Application";6868.84;6868840311000;11937.3;11937263151000;16;0
"All_Processes";16;"MPI";5068.42;5068422840000;5068.42;5068422840000;725355744;0
"Process 2";1;"Application";460.936;460936326000;746.074;746073553000;1;0
"Process 2";1;"MPI";285.137;285137227000;285.137;285137227000;45398049;0
"Process 7";1;"Application";462.98;462980459000;746.077;746076545000;1;0
"Process 7";1;"MPI";283.096;283096086000;283.096;283096086000;45398049;0
"Process 12";1;"Application";394.017;394016518000;746.099;746098582000;1;0
"Process 12";1;"MPI";352.082;352082064000;352.082;352082064000;45398049;0
"Process 3";1;"Application";458.16;458159818000;746.094;746094080000;1;0
"Process 3";1;"MPI";287.934;287934262000;287.934;287934262000;45398049;0
"Process 8";1;"Application";416.133;416133125000;746.078;746077729000;1;0
"Process 8";1;"MPI";329.945;329944604000;329.945;329944604000;45398049;0
"Process 13";1;"Application";400.097;400096810000;746.075;746075248000;1;0
"Process 13";1;"MPI";345.978;345978438000;345.978;345978438000;45398049;0
"Process 4";1;"Application";423.43;423430062000;746.092;746092494000;1;0
"Process 4";1;"MPI";322.662;322662432000;322.662;322662432000;45398049;0
"Process 9";1;"Application";414.151;414150933000;746.075;746074640000;1;0
"Process 9";1;"MPI";331.924;331923707000;331.924;331923707000;45398049;0
"Process 14";1;"Application";391.916;391916148000;746.074;746074066000;1;0
"Process 14";1;"MPI";354.158;354157918000;354.158;354157918000;45398049;0
