Process(Group);# Processes;Function(Group);Time Self [s];Time Self [tick];Time Total [s];Time Total [tick];# Calls;SCL
"Process 0";1;"Application";65.3364;65336375000;119.718;119718476000;1;0
"Process 0";1;"MPI";54.3821;54382101000;54.3821;54382101000;9618233;0
"Process 5";1;"Application";64.0071;64007112000;119.718;119717908000;1;0
"Process 5";1;"MPI";55.7108;55710796000;55.7108;55710796000;9707105;0
"Process 10";1;"Application";65.1203;65120294000;119.721;119720771000;1;0
"Process 10";1;"MPI";54.6005;54600477000;54.6005;54600477000;9707105;0
"Process 15";1;"Application";64.1237;64123739000;119.709;119709389000;1;0
"Process 15";1;"MPI";55.5856;55585650000;55.5856;55585650000;9616385;0
"Process 1";1;"Application";62.2242;62224157000;119.711;119710737000;1;0
"Process 1";1;"MPI";57.4866;57486580000;57.4866;57486580000;9707105;0
"Process 6";1;"Application";63.9329;63932936000;119.714;119714161000;1;0
"Process 6";1;"MPI";55.7812;55781225000;55.7812;55781225000;9707105;0
"Process 11";1;"Application";64.2012;64201224000;119.72;119720124000;1;0
"Process 11";1;"MPI";55.5189;55518900000;55.5189;55518900000;9707105;0
"All_Processes";16;"Application";1032.01;1032011704000;1915.44;1915442238000;16;0
"All_Processes";16;"MPI";883.431;883430534000;883.431;883430534000;155134088;0
"Process 2";1;"Application";63.1267;63126674000;119.709;119709209000;1;0
"Process 2";1;"MPI";56.5825;56582535000;56.5825;56582535000;9707105;0
"Process 7";1;"Application";65.9472;65947231000;119.713;119712847000;1;0
"Process 7";1;"MPI";53.7656;53765616000;53.7656;53765616000;9707105;0
"Process 12";1;"Application";65.1373;65137347000;119.71;119710472000;1;0
"Process 12";1;"MPI";54.5731;54573125000;54.5731;54573125000;9707105;0
"Process 3";1;"Application";63.4957;63495716000;119.711;119711254000;1;0
"Process 3";1;"MPI";56.2155;56215538000;56.2155;56215538000;9707105;0
"Process 8";1;"Application";70.9169;70916944000;119.72;119719600000;1;0
"Process 8";1;"MPI";48.8027;48802656000;48.8027;48802656000;9707105;0
"Process 13";1;"Application";63.2097;63209695000;119.719;119718880000;1;0
"Process 13";1;"MPI";56.5092;56509185000;56.5092;56509185000;9707105;0
"Process 4";1;"Application";63.6164;63616374000;119.718;119718106000;1;0
"Process 4";1;"MPI";56.1017;56101732000;56.1017;56101732000;9707105;0
"Process 9";1;"Application";65.3913;65391320000;119.718;119718418000;1;0
"Process 9";1;"MPI";54.3271;54327098000;54.3271;54327098000;9707105;0
"Process 14";1;"Application";62.2246;62224566000;119.712;119711886000;1;0
"Process 14";1;"MPI";57.4873;57487320000;57.4873;57487320000;9707105;0
