Operation;Process(Group);# collectives;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent;Bytes received (sum);Min. bytes received;Max. bytes received
"MPI_Allreduce";"Process 0";36;1.24241;1242412000;8e-06;8000;0.689883;689883000;23.1923;2.31923e-08;1.77778e+06;0.00177778;280;4;8;280;4;8
"MPI_Allreduce";"Process 1";36;0.605052;605052000;7e-06;7000;0.218332;218332000;73.2829;7.32829e-08;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 2";36;0.346126;346126000;6e-06;6000;0.181475;181475000;88.1664;8.81664e-08;2.66667e+06;0.00266667;280;4;8;280;4;8
"MPI_Allreduce";"Process 3";36;0.35815;358150000;4e-06;4000;0.17963;179630000;89.072;8.9072e-08;4e+06;0.004;280;4;8;280;4;8
"MPI_Allreduce";"Process 4";36;0.725509;725509000;8e-06;8000;0.409859;409859000;39.0378;3.90378e-08;2e+06;0.002;280;4;8;280;4;8
"MPI_Allreduce";"Process 5";36;1.07948;1079479000;7e-06;7000;0.600857;600857000;26.6286;2.66286e-08;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 6";36;0.65348;653480000;6e-06;6000;0.366984;366984000;43.5986;4.35986e-08;2.66667e+06;0.00266667;280;4;8;280;4;8
"MPI_Allreduce";"Process 7";36;0.598688;598688000;6e-06;6000;0.271432;271432000;58.9466;5.89466e-08;2.66667e+06;0.00266667;280;4;8;280;4;8
"MPI_Allreduce";"Process 8";36;0.194266;194266000;9e-06;9000;0.06472;64720000;247.219;2.47219e-07;1.77778e+06;0.00177778;280;4;8;280;4;8
"MPI_Allreduce";"Process 9";36;0.662022;662022000;8e-06;8000;0.298551;298551000;53.5922;5.35922e-08;2e+06;0.002;280;4;8;280;4;8
"MPI_Allreduce";"Process 10";36;1.50031;1500315000;7e-06;7000;0.827705;827705000;19.3306;1.93306e-08;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 11";36;0.51395;513950000;5e-06;5000;0.219565;219565000;72.8714;7.28714e-08;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 12";36;0.505859;505859000;9e-06;9000;0.356391;356391000;44.8945;4.48945e-08;1.77778e+06;0.00177778;280;4;8;280;4;8
"MPI_Allreduce";"Process 13";36;0.608862;608862000;8e-06;8000;0.194888;194888000;82.0984;8.20984e-08;2e+06;0.002;280;4;8;280;4;8
