Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 5";"Process 0";458324;97.2558;97255760000;0;0;1.44031;1440307000;308.504;3.08504e-07;inf;inf;1687422400;192;4800
"Process 5";"Process 10";458324;91.8393;91839303000;1e-06;1000;2.18209;2182086000;87.9892;8.79892e-08;2.4e+09;2.4;1687422400;192;4800
"Process 5";"Process 1";458324;33.0036;33003643000;0;0;1.43758;1437583000;203.94;2.0394e-07;inf;inf;1687422400;192;4800
"Process 5";"Process 11";458324;80.5647;80564657000;1e-06;1000;2.1821;2182102000;87.9886;8.79886e-08;2.4e+09;2.4;1531504256;128;4800
"Process 5";"Process 12";458324;75.4627;75462664000;1e-06;1000;1.44;1439997000;221.223;2.21223e-07;2.4e+09;2.4;1531504256;128;4800
"Process 5";"Process 13";458324;76.8955;76895540000;1e-06;1000;1.69282;1692822000;113.42;1.1342e-07;2.4e+09;2.4;1531504256;128;4800
"Process 5";"Process 14";458324;66.8267;66826652000;1e-06;1000;1.43995;1439955000;413.617;4.13617e-07;2.048e+09;2.048;1531504256;128;4800
"Process 5";"Process 15";458324;85.6213;85621316000;1e-06;1000;1.43995;1439954000;246.803;2.46803e-07;2.048e+09;2.048;1531504256;128;4800
"Process 5";"Process 9";458324;91.426;91425952000;1e-06;1000;1.88296;1882962000;275.94;2.7594e-07;2.048e+09;2.048;1687422400;192;4800
"Process 5";"Process 7";458324;92.1205;92120515000;0;0;1.90065;1900647000;521.425;5.21425e-07;inf;inf;1687422400;192;4800
"Process 5";"Process 8";458324;92.0748;92074810000;1e-06;1000;1.90066;1900660000;357.867;3.57867e-07;2.4e+09;2.4;1687422400;192;4800
"Process 5";"Process 2";458324;22.6042;22604184000;0;0;0.941425;941425000;203.946;2.03946e-07;inf;inf;1687422400;192;4800
"Process 5";"Process 3";458324;17.0485;17048455000;0;0;1.02408;1024078000;1312.06;1.31206e-06;inf;inf;1687422400;192;4800
"Process 5";"Process 4";530684;15.5367;15536701000;0;0;1.86832;1868319000;102.766;1.02766e-07;inf;inf;1097287104;192;51200
"Process 5";"Process 6";530684;95.5438;95543819000;1e-06;1000;1.90067;1900672000;521.416;5.21416e-07;5.12e+09;5.12;1097287104;192;51200
"Process 15";"Process 0";458324;183.819;183818929000;2e-06;2000;1.53819;1538190000;178.133;1.78133e-07;2.048e+09;2.048;1412636096;128;4800
"Process 15";"Process 10";458324;41.8107;41810723000;0;0;1.53825;1538254000;388.615;3.88615e-07;inf;inf;1412636096;128;4800
"Process 15";"Process 1";458324;146.627;146626989000;1e-06;1000;1.56442;1564416000;238.566;2.38566e-07;2.4e+09;2.4;1412636096;128;4800
"Process 15";"Process 11";458324;32.7313;32731287000;0;0;1.18936;1189360000;388.598;3.88598e-07;inf;inf;1256717952;128;4096
"Process 15";"Process 12";458324;27.2914;27291390000;0;0;1.18936;1189364000;544.954;5.44954e-07;inf;inf;1256717952;128;4096
"Process 15";"Process 13";458324;26.982;26982031000;0;0;1.91861;1918609000;66.715;6.6715e-08;inf;inf;1256717952;128;4096
"Process 15";"Process 14";530684;29.6105;29610464000;0;0;0.873601;873601000;219.557;2.19557e-07;inf;inf;666582656;128;51200
"Process 15";"Process 9";458324;42.1631;42163115000;0;0;1.53817;1538173000;371.192;3.71192e-07;inf;inf;1412636096;128;4800
"Process 15";"Process 7";458324;105.315;105315494000;1e-06;1000;1.53819;1538189000;205.669;2.05669e-07;2.4e+09;2.4;1412636096;128;4800
"Process 15";"Process 8";458324;46.3159;46315890000;0;0;1.53819;1538187000;388.614;3.88614e-07;inf;inf;1412636096;128;4800
