Operation;Process(Group);# collectives;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent;Bytes received (sum);Min. bytes received;Max. bytes received
"MPI_Allreduce";"Process 0";36;3.13153;3131527000;7e-06;7000;2.41544;2415443000;6.62404;6.62404e-09;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 1";36;2.78395;2783948000;6e-06;6000;2.4158;2415798000;6.62307;6.62307e-09;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 2";36;2.73894;2738937000;6e-06;6000;2.41578;2415779000;6.62312;6.62312e-09;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 3";36;2.59953;2599535000;6e-06;6000;2.4158;2415803000;6.62306;6.62306e-09;2.28571e+06;0.00228571;280;4;8;280;4;8
"MPI_Allreduce";"Process 4";36;2.69844;2698437000;4e-06;4000;2.41576;2415758000;6.62318;6.62318e-09;4e+06;0.004;280;4;8;280;4;8
"MPI_Allreduce";"Process 5";36;2.71776;2717760000;5e-06;5000;2.41576;2415765000;6.62316;6.62316e-09;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 6";36;2.90399;2903987000;6e-06;6000;2.41576;2415759000;6.62318;6.62318e-09;2.66667e+06;0.00266667;280;4;8;280;4;8
"MPI_Allreduce";"Process 7";36;2.75396;2753961000;5e-06;5000;2.41577;2415768000;6.62315;6.62315e-09;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 8";36;0.263358;263358000;5e-06;5000;0.129194;129194000;123.845;1.23845e-07;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 9";36;2.84585;2845854000;5e-06;5000;2.41577;2415774000;6.62314;6.62314e-09;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 10";36;2.89177;2891774000;6e-06;6000;2.41577;2415774000;6.62314;6.62314e-09;2.66667e+06;0.00266667;280;4;8;280;4;8
"MPI_Allreduce";"Process 11";36;2.94076;2940761000;5e-06;5000;2.41576;2415757000;6.62318;6.62318e-09;3.2e+06;0.0032;280;4;8;280;4;8
"MPI_Allreduce";"Process 12";36;2.69496;2694961000;4e-06;4000;2.41577;2415772000;6.62314;6.62314e-09;4e+06;0.004;280;4;8;280;4;8
