Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 5";"Process 0";99448;16.6215;16621490000;0;0;0.747259;747259000;326.408;3.26408e-07;inf;inf;375750080;192;102400
"Process 5";"Process 10";99404;16.0038;16003757000;1e-06;1000;0.747251;747251000;3735.19;3.73519e-06;2.4e+09;2.4;373151680;192;4800
"Process 5";"Process 11";99404;16.0351;16035122000;1e-06;1000;0.747253;747253000;5481.41;5.48141e-06;2.048e+09;2.048;345220736;128;4800
"Process 5";"Process 1";99404;7.47124;7471240000;0;0;0.747257;747257000;544.577;5.44577e-07;inf;inf;373151680;192;4800
"Process 5";"Process 12";99404;17.889;17888983000;1e-06;1000;0.756243;756243000;5416.25;5.41625e-06;2.048e+09;2.048;345220736;128;4800
"Process 5";"Process 13";99404;15.9214;15921383000;1e-06;1000;0.747263;747263000;546.003;5.46003e-07;2.4e+09;2.4;345220736;128;4800
"Process 5";"Process 14";99404;14.8495;14849456000;1e-06;1000;0.747261;747261000;5481.35;5.48135e-06;2.4e+09;2.4;345220736;128;4800
"Process 5";"Process 15";99404;15.5471;15547088000;1e-06;1000;0.747271;747271000;1135.29;1.13529e-06;2.4e+09;2.4;345220736;128;4800
"Process 5";"Process 9";99404;18.6556;18655552000;1e-06;1000;1.07545;1075446000;536.599;5.36599e-07;2.4e+09;2.4;373151680;192;4800
"Process 5";"Process 7";99404;18.5867;18586708000;1e-06;1000;1.07545;1075446000;3808.65;3.80865e-06;4.8e+09;4.8;373151680;192;4800
"Process 5";"Process 8";99404;21.3329;21332909000;1e-06;1000;1.07546;1075464000;3808.59;3.80859e-06;2.048e+09;2.048;373151680;192;4800
"Process 5";"Process 2";99404;7.3908;7390801000;0;0;0.747291;747291000;544.577;5.44577e-07;inf;inf;373151680;192;4800
"Process 5";"Process 3";99404;6.36704;6367040000;0;0;0.632786;632786000;630.77;6.3077e-07;inf;inf;373151680;192;4800
"Process 5";"Process 4";112364;6.50213;6502128000;0;0;1.07548;1075479000;3808.54;3.80854e-06;inf;inf;1036703680;192;51200
"Process 5";"Process 6";112364;19.3607;19360718000;1e-06;1000;1.07969;1079688000;3793.69;3.79369e-06;5.12e+09;5.12;1036703680;192;51200
"Process 15";"Process 0";99448;24.8942;24894159000;2e-06;2000;1.06474;1064736000;208.517;2.08517e-07;2.048e+09;2.048;326418368;128;102400
"Process 15";"Process 10";99404;8.24487;8244868000;0;0;0.738394;738394000;217.608;2.17608e-07;inf;inf;323926976;128;4800
"Process 15";"Process 11";99404;8.02871;8028715000;0;0;0.738396;738396000;217.605;2.17605e-07;inf;inf;295996032;128;4096
"Process 15";"Process 1";99404;17.8054;17805422000;1e-06;1000;1.06473;1064731000;1494.79;1.49479e-06;2.048e+09;2.048;323926976;128;4800
"Process 15";"Process 12";99404;8.97061;8970615000;0;0;0.738426;738426000;217.605;2.17605e-07;inf;inf;295996032;128;4096
"Process 15";"Process 13";99404;6.84441;6844407000;0;0;0.588223;588223000;217.605;2.17605e-07;inf;inf;295996032;128;4096
"Process 15";"Process 14";112364;7.92981;7929806000;0;0;0.644692;644692000;254.86;2.5486e-07;inf;inf;959548032;128;51200
